Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BoneCancellous    ,   1.0000e+1,   7.5563e-2,   1.0020e+7,   1.3555e+1,   3.5062e+3,   6.0071e+2,
BoneCancellous    ,   1.0000e+7,   1.2282e-1,   7.0779e+1,   3.1191e+0,   2.4372e+0,   5.3170e-1,
BoneCancellous    ,   2.0000e+7,   1.3588e-1,   4.8307e+1,   2.5282e+0,   1.5816e+0,   3.7026e-1,
BoneCancellous    ,   3.0000e+7,   1.4401e-1,   4.0160e+1,   2.1486e+0,   1.2148e+0,   3.0325e-1,
BoneCancellous    ,   4.0000e+7,   1.5009e-1,   3.5901e+1,   1.8787e+0,   1.0002e+0,   2.6506e-1,
BoneCancellous    ,   5.0000e+7,   1.5505e-1,   3.3258e+1,   1.6760e+0,   8.5583e-1,   2.3988e-1,
BoneCancellous    ,   6.0000e+7,   1.5929e-1,   3.1445e+1,   1.5176e+0,   7.5072e-1,   2.2181e-1,
BoneCancellous    ,   7.0000e+7,   1.6305e-1,   3.0118e+1,   1.3902e+0,   6.7010e-1,   2.0809e-1,
BoneCancellous    ,   8.0000e+7,   1.6645e-1,   2.9099e+1,   1.2853e+0,   6.0597e-1,   1.9723e-1,
BoneCancellous    ,   9.0000e+7,   1.6958e-1,   2.8290e+1,   1.1973e+0,   5.5356e-1,   1.8837e-1,
BoneCancellous    ,   1.0000e+8,   1.7250e-1,   2.7629e+1,   1.1223e+0,   5.0981e-1,   1.8097e-1,
BoneCancellous    ,   1.1000e+8,   1.7525e-1,   2.7078e+1,   1.0576e+0,   4.7267e-1,   1.7466e-1,
BoneCancellous    ,   1.2000e+8,   1.7787e-1,   2.6610e+1,   1.0013e+0,   4.4072e-1,   1.6919e-1,
BoneCancellous    ,   1.3000e+8,   1.8037e-1,   2.6208e+1,   9.5163e-1,   4.1290e-1,   1.6438e-1,
BoneCancellous    ,   1.4000e+8,   1.8278e-1,   2.5857e+1,   9.0761e-1,   3.8846e-1,   1.6011e-1,
BoneCancellous    ,   1.5000e+8,   1.8510e-1,   2.5547e+1,   8.6827e-1,   3.6679e-1,   1.5627e-1,
BoneCancellous    ,   1.6000e+8,   1.8736e-1,   2.5272e+1,   8.3291e-1,   3.4745e-1,   1.5280e-1,
BoneCancellous    ,   1.7000e+8,   1.8957e-1,   2.5026e+1,   8.0095e-1,   3.3007e-1,   1.4962e-1,
BoneCancellous    ,   1.8000e+8,   1.9172e-1,   2.4803e+1,   7.7192e-1,   3.1437e-1,   1.4670e-1,
BoneCancellous    ,   1.9000e+8,   1.9383e-1,   2.4601e+1,   7.4542e-1,   3.0011e-1,   1.4400e-1,
BoneCancellous    ,   2.0000e+8,   1.9591e-1,   2.4416e+1,   7.2115e-1,   2.8710e-1,   1.4148e-1,
BoneCancellous    ,   2.1000e+8,   1.9796e-1,   2.4247e+1,   6.9884e-1,   2.7518e-1,   1.3913e-1,
BoneCancellous    ,   2.2000e+8,   1.9998e-1,   2.4091e+1,   6.7826e-1,   2.6422e-1,   1.3691e-1,
BoneCancellous    ,   2.3000e+8,   2.0198e-1,   2.3946e+1,   6.5921e-1,   2.5410e-1,   1.3483e-1,
BoneCancellous    ,   2.4000e+8,   2.0395e-1,   2.3811e+1,   6.4154e-1,   2.4474e-1,   1.3285e-1,
BoneCancellous    ,   2.5000e+8,   2.0592e-1,   2.3686e+1,   6.2510e-1,   2.3605e-1,   1.3097e-1,
BoneCancellous    ,   2.6000e+8,   2.0786e-1,   2.3568e+1,   6.0977e-1,   2.2795e-1,   1.2918e-1,
