Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BoneCortical      ,   1.0000e+1,   2.0028e-2,   5.5153e+4,   6.5275e+2,   7.0607e+3,   1.1255e+3,
BoneCortical      ,   1.0000e+7,   4.2822e-2,   3.6772e+1,   2.0933e+0,   3.8372e+0,   9.6856e-1,
BoneCortical      ,   2.0000e+7,   4.8915e-2,   2.4917e+1,   1.7644e+0,   2.4405e+0,   6.6660e-1,
BoneCortical      ,   3.0000e+7,   5.2468e-2,   2.0939e+1,   1.5014e+0,   1.8444e+0,   5.4821e-1,
BoneCortical      ,   4.0000e+7,   5.5051e-2,   1.8946e+1,   1.3058e+0,   1.4974e+0,   4.8268e-1,
BoneCortical      ,   5.0000e+7,   5.7124e-2,   1.7744e+1,   1.1574e+0,   1.2657e+0,   4.4025e-1,
BoneCortical      ,   6.0000e+7,   5.8884e-2,   1.6935e+1,   1.0417e+0,   1.0983e+0,   4.1013e-1,
BoneCortical      ,   7.0000e+7,   6.0432e-2,   1.6353e+1,   9.4899e-1,   9.7114e-1,   3.8740e-1,
BoneCortical      ,   8.0000e+7,   6.1830e-2,   1.5911e+1,   8.7315e-1,   8.7086e-1,   3.6947e-1,
BoneCortical      ,   9.0000e+7,   6.3114e-2,   1.5564e+1,   8.0994e-1,   7.8962e-1,   3.5483e-1,
BoneCortical      ,   1.0000e+8,   6.4313e-2,   1.5283e+1,   7.5646e-1,   7.2239e-1,   3.4256e-1,
BoneCortical      ,   1.1000e+8,   6.5444e-2,   1.5050e+1,   7.1060e-1,   6.6579e-1,   3.3205e-1,
BoneCortical      ,   1.2000e+8,   6.6521e-2,   1.4854e+1,   6.7086e-1,   6.1747e-1,   3.2289e-1,
BoneCortical      ,   1.3000e+8,   6.7555e-2,   1.4685e+1,   6.3607e-1,   5.7572e-1,   3.1478e-1,
BoneCortical      ,   1.4000e+8,   6.8553e-2,   1.4540e+1,   6.0538e-1,   5.3927e-1,   3.0750e-1,
BoneCortical      ,   1.5000e+8,   6.9522e-2,   1.4412e+1,   5.7810e-1,   5.0717e-1,   3.0091e-1,
BoneCortical      ,   1.6000e+8,   7.0467e-2,   1.4298e+1,   5.5369e-1,   4.7870e-1,   2.9488e-1,
BoneCortical      ,   1.7000e+8,   7.1392e-2,   1.4197e+1,   5.3173e-1,   4.5325e-1,   2.8932e-1,
BoneCortical      ,   1.8000e+8,   7.2301e-2,   1.4106e+1,   5.1187e-1,   4.3038e-1,   2.8415e-1,
BoneCortical      ,   1.9000e+8,   7.3197e-2,   1.4023e+1,   4.9383e-1,   4.0971e-1,   2.7931e-1,
BoneCortical      ,   2.0000e+8,   7.4081e-2,   1.3948e+1,   4.7737e-1,   3.9094e-1,   2.7477e-1,
BoneCortical      ,   2.1000e+8,   7.4956e-2,   1.3879e+1,   4.6230e-1,   3.7382e-1,   2.7047e-1,
BoneCortical      ,   2.2000e+8,   7.5825e-2,   1.3815e+1,   4.4846e-1,   3.5814e-1,   2.6640e-1,
BoneCortical      ,   2.3000e+8,   7.6687e-2,   1.3756e+1,   4.3569e-1,   3.4372e-1,   2.6252e-1,
BoneCortical      ,   2.4000e+8,   7.7546e-2,   1.3701e+1,   4.2390e-1,   3.3042e-1,   2.5880e-1,
