Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainGreyMatter   ,   1.0000e+1,   2.7512e-2,   4.0699e+7,   1.2151e+0,   4.1425e+3,   1.3964e+3,
BrainGreyMatter   ,   1.0000e+7,   2.9172e-1,   3.1967e+2,   1.6404e+0,   1.3874e+0,   3.9322e-1,
BrainGreyMatter   ,   2.0000e+7,   3.7529e-1,   2.0175e+2,   1.6719e+0,   8.6922e-1,   2.4394e-1,
BrainGreyMatter   ,   3.0000e+7,   4.2471e-1,   1.5256e+2,   1.6681e+0,   6.6675e-1,   1.8734e-1,
BrainGreyMatter   ,   4.0000e+7,   4.5835e-1,   1.2671e+2,   1.6255e+0,   5.5212e-1,   1.5723e-1,
BrainGreyMatter   ,   5.0000e+7,   4.8359e-1,   1.1107e+2,   1.5653e+0,   4.7597e-1,   1.3829e-1,
BrainGreyMatter   ,   6.0000e+7,   5.0378e-1,   1.0067e+2,   1.4993e+0,   4.2072e-1,   1.2515e-1,
BrainGreyMatter   ,   7.0000e+7,   5.2064e-1,   9.3282e+1,   1.4333e+0,   3.7832e-1,   1.1543e-1,
BrainGreyMatter   ,   8.0000e+7,   5.3517e-1,   8.7780e+1,   1.3699e+0,   3.4450e-1,   1.0791e-1,
BrainGreyMatter   ,   9.0000e+7,   5.4797e-1,   8.3526e+1,   1.3103e+0,   3.1674e-1,   1.0189e-1,
BrainGreyMatter   ,   1.0000e+8,   5.5946e-1,   8.0140e+1,   1.2549e+0,   2.9345e-1,   9.6939e-2,
BrainGreyMatter   ,   1.1000e+8,   5.6991e-1,   7.7382e+1,   1.2035e+0,   2.7359e-1,   9.2792e-2,
BrainGreyMatter   ,   1.2000e+8,   5.7953e-1,   7.5091e+1,   1.1561e+0,   2.5640e-1,   8.9255e-2,
BrainGreyMatter   ,   1.3000e+8,   5.8845e-1,   7.3158e+1,   1.1122e+0,   2.4136e-1,   8.6196e-2,
BrainGreyMatter   ,   1.4000e+8,   5.9680e-1,   7.1504e+1,   1.0716e+0,   2.2807e-1,   8.3519e-2,
BrainGreyMatter   ,   1.5000e+8,   6.0467e-1,   7.0073e+1,   1.0341e+0,   2.1623e-1,   8.1152e-2,
BrainGreyMatter   ,   1.6000e+8,   6.1212e-1,   6.8822e+1,   9.9924e-1,   2.0560e-1,   7.9039e-2,
BrainGreyMatter   ,   1.7000e+8,   6.1920e-1,   6.7718e+1,   9.6685e-1,   1.9600e-1,   7.7140e-2,
BrainGreyMatter   ,   1.8000e+8,   6.2598e-1,   6.6737e+1,   9.3670e-1,   1.8728e-1,   7.5421e-2,
BrainGreyMatter   ,   1.9000e+8,   6.3247e-1,   6.5859e+1,   9.0857e-1,   1.7932e-1,   7.3854e-2,
BrainGreyMatter   ,   2.0000e+8,   6.3873e-1,   6.5068e+1,   8.8227e-1,   1.7203e-1,   7.2419e-2,
BrainGreyMatter   ,   2.1000e+8,   6.4477e-1,   6.4352e+1,   8.5764e-1,   1.6532e-1,   7.1097e-2,
BrainGreyMatter   ,   2.2000e+8,   6.5062e-1,   6.3700e+1,   8.3454e-1,   1.5913e-1,   6.9874e-2,
BrainGreyMatter   ,   2.3000e+8,   6.5629e-1,   6.3103e+1,   8.1282e-1,   1.5339e-1,   6.8738e-2,
BrainGreyMatter   ,   2.4000e+8,   6.6181e-1,   6.2556e+1,   7.9238e-1,   1.4805e-1,   6.7679e-2,
BrainGreyMatter   ,   2.5000e+8,   6.6719e-1,   6.2052e+1,   7.7310e-1,   1.4308e-1,   6.6687e-2,
BrainGreyMatter   ,   2.6000e+8,   6.7244e-1,   6.1585e+1,   7.5489e-1,   1.3844e-1,   6.5756e-2,
BrainGreyMatter   ,   2.7000e+8,   6.7758e-1,   6.1152e+1,   7.3767e-1,   1.3409e-1,   6.4879e-2,
BrainGreyMatter   ,   2.8000e+8,   6.8261e-1,   6.0749e+1,   7.2136e-1,   1.3000e-1,   6.4050e-2,
BrainGreyMatter   ,   2.9000e+8,   6.8755e-1,   6.0373e+1,   7.0589e-1,   1.2617e-1,   6.3266e-2,
BrainGreyMatter   ,   3.0000e+8,   6.9240e-1,   6.0022e+1,   6.9120e-1,   1.2255e-1,   6.2521e-2,
BrainGreyMatter   ,   3.1000e+8,   6.9717e-1,   5.9692e+1,   6.7724e-1,   1.1914e-1,   6.1812e-2,
BrainGreyMatter   ,   3.2000e+8,   7.0187e-1,   5.9382e+1,   6.6395e-1,   1.1591e-1,   6.1135e-2,
BrainGreyMatter   ,   3.3000e+8,   7.0650e-1,   5.9090e+1,   6.5128e-1,   1.1285e-1,   6.0489e-2,
BrainGreyMatter   ,   3.4000e+8,   7.1107e-1,   5.8814e+1,   6.3920e-1,   1.0995e-1,   5.9870e-2,
BrainGreyMatter   ,   3.5000e+8,   7.1559e-1,   5.8553e+1,   6.2766e-1,   1.0720e-1,   5.9277e-2,
BrainGreyMatter   ,   3.6000e+8,   7.2005e-1,   5.8306e+1,   6.1663e-1,   1.0458e-1,   5.8706e-2,
BrainGreyMatter   ,   3.7000e+8,   7.2447e-1,   5.8072e+1,   6.0608e-1,   1.0209e-1,   5.8157e-2,
BrainGreyMatter   ,   3.8000e+8,   7.2884e-1,   5.7849e+1,   5.9598e-1,   9.9715e-2,   5.7628e-2,
BrainGreyMatter   ,   3.9000e+8,   7.3318e-1,   5.7637e+1,   5.8630e-1,   9.7448e-2,   5.7117e-2,
BrainGreyMatter   ,   4.0000e+8,   7.3748e-1,   5.7435e+1,   5.7702e-1,   9.5282e-2,   5.6623e-2,
BrainGreyMatter   ,   4.1000e+8,   7.4174e-1,   5.7243e+1,   5.6811e-1,   9.3210e-2,   5.6145e-2,
BrainGreyMatter   ,   4.2000e+8,   7.4598e-1,   5.7059e+1,   5.5955e-1,   9.1226e-2,   5.5682e-2,
