Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Cornea            ,   1.0000e+1,   4.1113e-1,   2.0105e+7,   3.6759e+1,   1.5385e+3,   2.5161e+2,
Cornea            ,   1.0000e+7,   8.7401e-1,   2.5936e+2,   6.0576e+0,   9.8526e-1,   1.8482e-1,
Cornea            ,   2.0000e+7,   9.1848e-1,   1.5440e+2,   5.3467e+0,   6.7230e-1,   1.2887e-1,
Cornea            ,   3.0000e+7,   9.4555e-1,   1.2179e+2,   4.6521e+0,   5.3366e-1,   1.0513e-1,
Cornea            ,   4.0000e+7,   9.6564e-1,   1.0567e+2,   4.1066e+0,   4.5101e-1,   9.1358e-2,
Cornea            ,   5.0000e+7,   9.8186e-1,   9.5966e+1,   3.6783e+0,   3.9460e-1,   8.2155e-2,
Cornea            ,   6.0000e+7,   9.9559e-1,   8.9435e+1,   3.3351e+0,   3.5294e-1,   7.5487e-2,
Cornea            ,   7.0000e+7,   1.0076e+0,   8.4718e+1,   3.0541e+0,   3.2057e-1,   7.0390e-2,
Cornea            ,   8.0000e+7,   1.0183e+0,   8.1137e+1,   2.8199e+0,   2.9447e-1,   6.6346e-2,
Cornea            ,   9.0000e+7,   1.0280e+0,   7.8319e+1,   2.6215e+0,   2.7286e-1,   6.3045e-2,
Cornea            ,   1.0000e+8,   1.0369e+0,   7.6038e+1,   2.4512e+0,   2.5458e-1,   6.0291e-2,
Cornea            ,   1.1000e+8,   1.0451e+0,   7.4151e+1,   2.3033e+0,   2.3887e-1,   5.7953e-2,
Cornea            ,   1.2000e+8,   1.0529e+0,   7.2561e+1,   2.1736e+0,   2.2519e-1,   5.5939e-2,
Cornea            ,   1.3000e+8,   1.0601e+0,   7.1201e+1,   2.0588e+0,   2.1312e-1,   5.4184e-2,
Cornea            ,   1.4000e+8,   1.0670e+0,   7.0023e+1,   1.9566e+0,   2.0239e-1,   5.2639e-2,
Cornea            ,   1.5000e+8,   1.0736e+0,   6.8992e+1,   1.8648e+0,   1.9277e-1,   5.1266e-2,
Cornea            ,   1.6000e+8,   1.0799e+0,   6.8082e+1,   1.7820e+0,   1.8409e-1,   5.0037e-2,
Cornea            ,   1.7000e+8,   1.0859e+0,   6.7271e+1,   1.7069e+0,   1.7620e-1,   4.8930e-2,
Cornea            ,   1.8000e+8,   1.0917e+0,   6.6544e+1,   1.6384e+0,   1.6899e-1,   4.7925e-2,
Cornea            ,   1.9000e+8,   1.0973e+0,   6.5887e+1,   1.5757e+0,   1.6238e-1,   4.7010e-2,
Cornea            ,   2.0000e+8,   1.1028e+0,   6.5292e+1,   1.5180e+0,   1.5629e-1,   4.6171e-2,
Cornea            ,   2.1000e+8,   1.1081e+0,   6.4748e+1,   1.4649e+0,   1.5065e-1,   4.5399e-2,
Cornea            ,   2.2000e+8,   1.1132e+0,   6.4250e+1,   1.4157e+0,   1.4542e-1,   4.4686e-2,
Cornea            ,   2.3000e+8,   1.1182e+0,   6.3792e+1,   1.3700e+0,   1.4056e-1,   4.4024e-2,
Cornea            ,   2.4000e+8,   1.1232e+0,   6.3369e+1,   1.3275e+0,   1.3601e-1,   4.3409e-2,
Cornea            ,   2.5000e+8,   1.1280e+0,   6.2977e+1,   1.2878e+0,   1.3176e-1,   4.2834e-2,
Cornea            ,   2.6000e+8,   1.1327e+0,   6.2612e+1,   1.2507e+0,   1.2777e-1,   4.2295e-2,
Cornea            ,   2.7000e+8,   1.1373e+0,   6.2272e+1,   1.2159e+0,   1.2402e-1,   4.1789e-2,
Cornea            ,   2.8000e+8,   1.1419e+0,   6.1954e+1,   1.1833e+0,   1.2049e-1,   4.1313e-2,
