Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
EyeSclera         ,   1.0000e+1,   5.0139e-1,   2.6033e+6,   3.4620e+2,   1.4102e+3,   2.2509e+2,
EyeSclera         ,   1.0000e+7,   7.9839e-1,   2.0825e+2,   6.8914e+0,   1.0411e+0,   1.9147e-1,
EyeSclera         ,   2.0000e+7,   8.3036e-1,   1.2410e+2,   6.0137e+0,   7.1433e-1,   1.3416e-1,
EyeSclera         ,   3.0000e+7,   8.4831e-1,   9.9531e+1,   5.1069e+0,   5.6873e-1,   1.0996e-1,
EyeSclera         ,   4.0000e+7,   8.6111e-1,   8.7909e+1,   4.4020e+0,   4.8142e-1,   9.5978e-2,
EyeSclera         ,   5.0000e+7,   8.7121e-1,   8.1131e+1,   3.8606e+0,   4.2151e-1,   8.6677e-2,
EyeSclera         ,   6.0000e+7,   8.7964e-1,   7.6681e+1,   3.4367e+0,   3.7709e-1,   7.9968e-2,
EyeSclera         ,   7.0000e+7,   8.8692e-1,   7.3529e+1,   3.0975e+0,   3.4242e-1,   7.4863e-2,
EyeSclera         ,   8.0000e+7,   8.9337e-1,   7.1176e+1,   2.8203e+0,   3.1439e-1,   7.0831e-2,
EyeSclera         ,   9.0000e+7,   8.9920e-1,   6.9349e+1,   2.5898e+0,   2.9111e-1,   6.7555e-2,
EyeSclera         ,   1.0000e+8,   9.0455e-1,   6.7887e+1,   2.3951e+0,   2.7137e-1,   6.4836e-2,
EyeSclera         ,   1.1000e+8,   9.0950e-1,   6.6689e+1,   2.2286e+0,   2.5437e-1,   6.2539e-2,
EyeSclera         ,   1.2000e+8,   9.1414e-1,   6.5689e+1,   2.0846e+0,   2.3953e-1,   6.0570e-2,
EyeSclera         ,   1.3000e+8,   9.1851e-1,   6.4840e+1,   1.9588e+0,   2.2644e-1,   5.8862e-2,
EyeSclera         ,   1.4000e+8,   9.2267e-1,   6.4110e+1,   1.8479e+0,   2.1478e-1,   5.7365e-2,
EyeSclera         ,   1.5000e+8,   9.2664e-1,   6.3475e+1,   1.7494e+0,   2.0431e-1,   5.6042e-2,
EyeSclera         ,   1.6000e+8,   9.3046e-1,   6.2917e+1,   1.6614e+0,   1.9486e-1,   5.4863e-2,
EyeSclera         ,   1.7000e+8,   9.3414e-1,   6.2423e+1,   1.5823e+0,   1.8627e-1,   5.3804e-2,
EyeSclera         ,   1.8000e+8,   9.3770e-1,   6.1982e+1,   1.5108e+0,   1.7842e-1,   5.2849e-2,
EyeSclera         ,   1.9000e+8,   9.4116e-1,   6.1586e+1,   1.4458e+0,   1.7122e-1,   5.1981e-2,
EyeSclera         ,   2.0000e+8,   9.4454e-1,   6.1227e+1,   1.3865e+0,   1.6458e-1,   5.1188e-2,
EyeSclera         ,   2.1000e+8,   9.4784e-1,   6.0901e+1,   1.3322e+0,   1.5845e-1,   5.0462e-2,
EyeSclera         ,   2.2000e+8,   9.5108e-1,   6.0604e+1,   1.2823e+0,   1.5276e-1,   4.9792e-2,
EyeSclera         ,   2.3000e+8,   9.5425e-1,   6.0330e+1,   1.2362e+0,   1.4746e-1,   4.9173e-2,
EyeSclera         ,   2.4000e+8,   9.5738e-1,   6.0079e+1,   1.1935e+0,   1.4252e-1,   4.8599e-2,
EyeSclera         ,   2.5000e+8,   9.6047e-1,   5.9846e+1,   1.1539e+0,   1.3790e-1,   4.8063e-2,
EyeSclera         ,   2.6000e+8,   9.6351e-1,   5.9630e+1,   1.1171e+0,   1.3357e-1,   4.7562e-2,
EyeSclera         ,   2.7000e+8,   9.6653e-1,   5.9429e+1,   1.0828e+0,   1.2950e-1,   4.7093e-2,
EyeSclera         ,   2.8000e+8,   9.6952e-1,   5.9242e+1,   1.0506e+0,   1.2567e-1,   4.6651e-2,
EyeSclera         ,   2.9000e+8,   9.7248e-1,   5.9066e+1,   1.0205e+0,   1.2206e-1,   4.6234e-2,
EyeSclera         ,   3.0000e+8,   9.7542e-1,   5.8902e+1,   9.9225e-1,   1.1865e-1,   4.5840e-2,
EyeSclera         ,   3.1000e+8,   9.7835e-1,   5.8747e+1,   9.6566e-1,   1.1542e-1,   4.5466e-2,
EyeSclera         ,   3.2000e+8,   9.8126e-1,   5.8601e+1,   9.4061e-1,   1.1236e-1,   4.5111e-2,
EyeSclera         ,   3.3000e+8,   9.8416e-1,   5.8463e+1,   9.1696e-1,   1.0945e-1,   4.4772e-2,
EyeSclera         ,   3.4000e+8,   9.8705e-1,   5.8332e+1,   8.9460e-1,   1.0669e-1,   4.4449e-2,
EyeSclera         ,   3.5000e+8,   9.8993e-1,   5.8209e+1,   8.7344e-1,   1.0407e-1,   4.4140e-2,
EyeSclera         ,   3.6000e+8,   9.9281e-1,   5.8091e+1,   8.5337e-1,   1.0156e-1,   4.3843e-2,
EyeSclera         ,   3.7000e+8,   9.9569e-1,   5.7979e+1,   8.3432e-1,   9.9178e-2,   4.3558e-2,
EyeSclera         ,   3.8000e+8,   9.9857e-1,   5.7873e+1,   8.1621e-1,   9.6899e-2,   4.3284e-2,
EyeSclera         ,   3.9000e+8,   1.0014e+0,   5.7771e+1,   7.9898e-1,   9.4722e-2,   4.3020e-2,
EyeSclera         ,   4.0000e+8,   1.0043e+0,   5.7674e+1,   7.8256e-1,   9.2639e-2,   4.2765e-2,
EyeSclera         ,   4.1000e+8,   1.0072e+0,   5.7581e+1,   7.6690e-1,   9.0644e-2,   4.2518e-2,
EyeSclera         ,   4.2000e+8,   1.0101e+0,   5.7492e+1,   7.5195e-1,   8.8732e-2,   4.2278e-2,
EyeSclera         ,   4.3000e+8,   1.0130e+0,   5.7406e+1,   7.3767e-1,   8.6898e-2,   4.2046e-2,
EyeSclera         ,   4.4000e+8,   1.0159e+0,   5.7324e+1,   7.2400e-1,   8.5137e-2,   4.1821e-2,
EyeSclera         ,   4.5000e+8,   1.0188e+0,   5.7245e+1,   7.1092e-1,   8.3445e-2,   4.1602e-2,
EyeSclera         ,   4.6000e+8,   1.0217e+0,   5.7169e+1,   6.9838e-1,   8.1818e-2,   4.1388e-2,
EyeSclera         ,   4.7000e+8,   1.0247e+0,   5.7096e+1,   6.8636e-1,   8.0252e-2,   4.1180e-2,
EyeSclera         ,   4.8000e+8,   1.0276e+0,   5.7025e+1,   6.7483e-1,   7.8744e-2,   4.0976e-2,
EyeSclera         ,   4.9000e+8,   1.0305e+0,   5.6957e+1,   6.6374e-1,   7.7291e-2,   4.0777e-2,
EyeSclera         ,   5.0000e+8,   1.0335e+0,   5.6891e+1,   6.5310e-1,   7.5890e-2,   4.0583e-2,
EyeSclera         ,   5.1000e+8,   1.0365e+0,   5.6828e+1,   6.4285e-1,   7.4539e-2,   4.0392e-2,
EyeSclera         ,   5.2000e+8,   1.0395e+0,   5.6766e+1,   6.3300e-1,   7.3234e-2,   4.0205e-2,
EyeSclera         ,   5.3000e+8,   1.0425e+0,   5.6706e+1,   6.2350e-1,   7.1973e-2,   4.0022e-2,
EyeSclera         ,   5.4000e+8,   1.0455e+0,   5.6649e+1,   6.1436e-1,   7.0754e-2,   3.9842e-2,
EyeSclera         ,   5.5000e+8,   1.0485e+0,   5.6592e+1,   6.0554e-1,   6.9576e-2,   3.9665e-2,
EyeSclera         ,   5.6000e+8,   1.0516e+0,   5.6538e+1,   5.9703e-1,   6.8436e-2,   3.9491e-2,
EyeSclera         ,   5.7000e+8,   1.0546e+0,   5.6485e+1,   5.8882e-1,   6.7332e-2,   3.9320e-2,
EyeSclera         ,   5.8000e+8,   1.0577e+0,   5.6433e+1,   5.8088e-1,   6.6262e-2,   3.9151e-2,
EyeSclera         ,   5.9000e+8,   1.0608e+0,   5.6383e+1,   5.7322e-1,   6.5226e-2,   3.8985e-2,
EyeSclera         ,   6.0000e+8,   1.0639e+0,   5.6335e+1,   5.6581e-1,   6.4222e-2,   3.8820e-2,
EyeSclera         ,   6.1000e+8,   1.0671e+0,   5.6287e+1,   5.5865e-1,   6.3247e-2,   3.8658e-2,
EyeSclera         ,   6.2000e+8,   1.0702e+0,   5.6241e+1,   5.5172e-1,   6.2302e-2,   3.8498e-2,
EyeSclera         ,   6.3000e+8,   1.0734e+0,   5.6196e+1,   5.4500e-1,   6.1383e-2,   3.8340e-2,
EyeSclera         ,   6.4000e+8,   1.0766e+0,   5.6152e+1,   5.3850e-1,   6.0492e-2,   3.8184e-2,
EyeSclera         ,   6.5000e+8,   1.0798e+0,   5.6109e+1,   5.3221e-1,   5.9626e-2,   3.8030e-2,
EyeSclera         ,   6.6000e+8,   1.0830e+0,   5.6067e+1,   5.2611e-1,   5.8783e-2,   3.7877e-2,
EyeSclera         ,   6.7000e+8,   1.0863e+0,   5.6025e+1,   5.2019e-1,   5.7965e-2,   3.7725e-2,
EyeSclera         ,   6.8000e+8,   1.0895e+0,   5.5985e+1,   5.1445e-1,   5.7168e-2,   3.7575e-2,
EyeSclera         ,   6.9000e+8,   1.0928e+0,   5.5946e+1,   5.0888e-1,   5.6393e-2,   3.7427e-2,
EyeSclera         ,   7.0000e+8,   1.0961e+0,   5.5908e+1,   5.0348e-1,   5.5639e-2,   3.7280e-2,
EyeSclera         ,   7.1000e+8,   1.0995e+0,   5.5870e+1,   4.9823e-1,   5.4904e-2,   3.7134e-2,
EyeSclera         ,   7.2000e+8,   1.1028e+0,   5.5833e+1,   4.9313e-1,   5.4188e-2,   3.6989e-2,
EyeSclera         ,   7.3000e+8,   1.1062e+0,   5.5797e+1,   4.8818e-1,   5.3491e-2,   3.6845e-2,
EyeSclera         ,   7.4000e+8,   1.1096e+0,   5.5761e+1,   4.8336e-1,   5.2811e-2,   3.6702e-2,
EyeSclera         ,   7.5000e+8,   1.1130e+0,   5.5727e+1,   4.7869e-1,   5.2148e-2,   3.6561e-2,
